analysis        sr      o       b       db      s              ds             s95obs  s95exp  robscons       rexpcons       
cms_sus_16_039  SR_F01  146.0   170.0   50.0    0.0            3.59014338239  60.1    70.0    0              0              
cms_sus_16_039  SR_F02  21.0    24.0    7.0     0.0            3.59014338239  13.3    14.6    0              0              
cms_sus_16_039  SR_F03  2.0     5.8     2.0     0.0            3.59014338239  3.8     6.1     0              0              
cms_sus_16_039  SR_F04  1.0     1.8     0.8     0.0            3.59014338239  3.7     4.4     0              0              
cms_sus_16_039  SR_F05  1.0     0.9     0.6     0.0            3.59014338239  3.7     3.5     0              0              
cms_sus_16_039  SR_F06  0.001   0.23    0.17    0.0            3.59014338239  2.97    2.88    0              0              
cms_sus_16_039  SR_F07  34.0    42.0    11.0    0.0            3.59014338239  16.2    20.0    0              0              
cms_sus_16_039  SR_F08  6.0     7.0     2.1     0.0            3.59014338239  6.8     7.5     0              0              
cms_sus_16_039  SR_F09  3.0     1.9     0.8     0.0            3.59014338239  5.7     4.9     0              0              
cms_sus_16_039  SR_F10  2.0     1.3     0.6     0.0            3.59014338239  4.4     4.1     0              0              
cms_sus_16_039  SR_F11  1.0     3.0     1.1     0.0            3.59014338239  3.4     5.0     0              0              
cms_sus_16_039  SR_F12  1.0     0.45    0.3     0.0            3.59014338239  3.54    3.07    0              0              
cms_sus_16_039  SR_G01  619.0   460.0   120.0   0.0            3.59014338239  327.9   245.6   0              0              
cms_sus_16_039  SR_G02  51.0    45.0    14.0    0.0            3.59014338239  31.6    27.9    0              0              
cms_sus_16_039  SR_G03  2.0     2.7     0.8     0.0            3.59014338239  4.3     5.0     0              0              
cms_sus_16_039  SR_G04  2.0     1.12    0.33    0.0            3.59014338239  4.68    3.91    0              0              
cms_sus_16_039  SR_G05  0.001   0.97    0.32    0.0            3.59014338239  3.03    3.24    0              0              
cms_sus_16_039  SR_H01  14.0    10.9    2.2     0.0            3.59014338239  11.8    9.1     0              0              
cms_sus_16_039  SR_H02  6.0     7.7     1.5     0.0            3.59014338239  6.0     7.2     0              0              
cms_sus_16_039  SR_H03  0.001   2.7     0.6     0.0            3.59014338239  3.0     4.8     0              0              
cms_sus_16_039  SR_H04  1.0     1.9     0.6     0.0            3.59014338239  3.7     4.3     0              0              
cms_sus_16_039  SR_I01  51.0    42.0    8.0     0.0            3.59014338239  28.3    21.3    0              0              
cms_sus_16_039  SR_I02  14.0    16.4    3.5     0.0            3.59014338239  9.2     10.5    0              0              
cms_sus_16_039  SR_I03  4.0     4.7     1.4     0.0            3.59014338239  5.8     6.4     0              0              
